FileName,instrumental_intensity
AIC0011903090108,2.39
AIC0012009271313,2.31
AIC0012010190328,1.48
AIC0021903090108,2.69
AIC0022009271313,2.58
AIC0031903090108,1.75
AIC0032006171503,1.16
AIC0032010190328,1.84
AIC0041903090108,2.43
AIC0042009271313,1.64
AIC0042010190328,1.81
AIC0042102180358,2
AIC0042104050622,0.58
AIC0051903090108,1.88
AIC0052009271313,2.2
AIC0052010190328,0.91
AIC0052102180358,1.34
AIC0061903090108,2.13
AIC0062009271313,3.72
AIC0062104050622,2.58
AIC0081903090108,1.86
AIC0081908311803,1.19
AIC0081910020215,1.43
AIC0082003211358,1.58
AIC0082004231344,1.17
AIC0082009271313,3.25
AIC0082010190328,1.15
AIC0082102180358,1.73
AIC0082104050622,1.95
AIC0091903090108,2.69
AIC0092010190328,2.03
AIC0092102180358,2.64
AIC0092104050622,1.51
AIC0101903090108,2.38
AIC0102009271313,2.94
AIC0102010190328,2.18
AIC0102102180358,1.27
AIC0102104050622,2.6
AIC0111903090108,2.29
AIC0112009271313,1.85
AIC0112010190328,1.74
AIC0112102180358,2.43
AIC0121903090108,1.49
AIC0122009271313,2.19
AIC0122010190328,1.26
AIC0122102180358,1.58
AIC0131903090108,0.79
AIC0131910020215,0.61
AIC0132009271313,2.55
AIC0132102180358,0.87
AIC0132104050622,1.46
AIC0141903090108,1.55
AIC0142009271313,2.61
AIC0142010190328,1.11
AIC0142102180358,1.31
AIC0142104050622,1.08
AIC0152009271313,3.66
AIC0161903090108,1.47
AIC0162009271313,2.02
AIC0162102180358,1.46
AIC0172009271313,2.57
AIC0172104050622,1.7
AKT0011901261723,1.91
AKT0011912191521,2.92
AKT0012011060451,0.76
AKT0012012121619,1.91
AKT0012012210223,2.69
AKT0021901261723,1.93
AKT0021908151433,1.56
AKT0021912191521,2.47
AKT0022011060451,1.03
AKT0022012121619,1.78
AKT0022012210223,2.89
AKT0031912191521,1.8
AKT0032011060451,1.07
AKT0061901261723,2.05
AKT0061908151433,1.47
AKT0061912030825,0.7
AKT0061912191521,2.77
AKT0062004200539,2.05
AKT0062011060451,1.4
AKT0062012121619,1.76
AKT0062012210223,2.89
AKT0091906182222,3.82
AKT0101906182222,3.6
AKT0111905181018,1.66
AKT0111906182222,4.07
AKT0112003111304,3.83
AKT0112004200539,2.23
AKT0112009121144,2.41
AKT0112011060451,1.95
AKT0112103090830,1.56
AKT0112103201809,3.24
AKT0121906182222,3.13
AKT0122003111304,3.85
AKT0122004200539,1.88
AKT0122009121144,2.02
AKT0122011060451,0.88
AKT0122103201809,2.82
AKT0122105011027,2.65
AKT0132004200539,1.84
AKT0132009121144,1.77
AKT0132103201809,2.64
AKT0141905181018,1.84
AKT0142003111304,2.04
AKT0142004200539,2.09
AKT0142009121144,2.08
AKT0142011060451,0.4
AKT0142103090830,1.85
AKT0142103201809,2.65
AKT0142105011027,2.64
AKT0151906182222,4.53
AKT0162003111304,1.29
AKT0162004200539,2.58
AKT0162009121144,2.53
AKT0162103201809,3.65
AKT0162104180929,1.84
AKT0162105011027,3.6
AKT0171906182222,3.67
